results random forest,,,,,,,,,results KNN,,,,,,,,,,results CNN,,,,,,,,,,,,,results XGBOOST,run_name,accuracy,precision,recall,f1,,,,
run,accuracy,precision,recall,f1,,,,,run,raw_accuracy,raw_precision,raw_recall,raw_f1,feat_accuracy,feat_precision,feat_recall,feat_f1,,,model,accuracy,recall,precision,F1 score,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.6_mcw1,0.658,0.69722977,0.658,0.65067144,,,,V
RF_e100_d10_l5_flog2,0.676,0.714979076,0.676,0.650980652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub0.8_col0.6_mcw1,0.722,0.77690873,0.722,0.717049872,,,,
RF_e200_d10_l5_flog2,0.69,0.723833,0.69,0.666330706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub0.8_col0.6_mcw5,0.752,0.777119048,0.752,0.745705739,,,,
RF_e50_d10_l10_flog2,0.61,0.664405317,0.61,0.58181538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub0.8_col0.8_mcw1,0.752,0.792059524,0.752,0.746515207,,,,
RF_e100_d10_l10_flog2,0.662,0.706056999,0.662,0.637844395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub0.8_col0.8_mcw5,0.742,0.779035714,0.742,0.736301532,,,,
RF_e200_d10_l10_flog2,0.704,0.719963953,0.704,0.671614136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub1.0_col0.6_mcw1,0.736,0.768436508,0.736,0.731597791,,,,
RF_e50_d20_l1_fsqrt,0.708,0.73690873,0.708,0.692716574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub1.0_col0.6_mcw5,0.764,0.793769841,0.764,0.758242258,,,,
RF_e100_d20_l1_fsqrt,0.768,0.803132395,0.768,0.761663725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub1.0_col0.8_mcw1,0.724,0.752595238,0.724,0.715612776,,,,
RF_e200_d20_l1_fsqrt,0.804,0.833821429,0.804,0.795196859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d3_sub1.0_col0.8_mcw5,0.75,0.788746032,0.75,0.745844988,,,,
RF_e50_d20_l5_fsqrt,0.732,0.75694733,0.732,0.717136586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub0.8_col0.6_mcw1,0.758,0.803027778,0.758,0.754024453,,,,
RF_e100_d20_l5_fsqrt,0.776,0.81753355,0.776,0.764434704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub0.8_col0.6_mcw5,0.78,0.812321429,0.78,0.776254579,,,,
RF_e200_d20_l5_fsqrt,0.786,0.814674603,0.786,0.777009213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub0.8_col0.8_mcw1,0.76,0.800589105,0.76,0.755385087,,,,
RF_e50_d20_l10_fsqrt,0.73,0.750392857,0.73,0.71660262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub0.8_col0.8_mcw5,0.782,0.81380303,0.782,0.778831613,,,,
RF_e100_d20_l10_fsqrt,0.758,0.774345238,0.758,0.737408647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub1.0_col0.6_mcw1,0.762,0.792511905,0.762,0.756161172,,,,
RF_e200_d20_l10_fsqrt,0.77,0.7986443,0.77,0.757183428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub1.0_col0.6_mcw5,0.79,0.830588745,0.79,0.78864813,,,,
RF_e50_d20_l1_flog2,0.67,0.704964286,0.67,0.658076257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub1.0_col0.8_mcw1,0.752,0.788333333,0.752,0.748085248,,,,
RF_e100_d20_l1_flog2,0.738,0.782896825,0.738,0.725861916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n50_d6_sub1.0_col0.8_mcw5,0.786,0.820531746,0.786,0.781141692,,,,
RF_e200_d20_l1_flog2,0.778,0.807353175,0.778,0.767681041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub0.8_col0.6_mcw1,0.782,0.821781746,0.782,0.779319292,,,,
RF_e50_d20_l5_flog2,0.694,0.716895743,0.694,0.675505785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub0.8_col0.6_mcw5,0.808,0.834865079,0.808,0.804515429,,,,
RF_e100_d20_l5_flog2,0.748,0.779854978,0.748,0.734706099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub0.8_col0.8_mcw1,0.788,0.827833333,0.788,0.785392996,,,,
RF_e200_d20_l5_flog2,0.812,0.837075397,0.812,0.801265235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub0.8_col0.8_mcw5,0.798,0.826047619,0.798,0.796455267,,,,
RF_e50_d20_l10_flog2,0.71,0.747247114,0.71,0.692406621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub1.0_col0.6_mcw1,0.792,0.82668254,0.792,0.790174048,,,,
RF_e100_d20_l10_flog2,0.742,0.769742063,0.742,0.72527467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub1.0_col0.6_mcw5,0.782,0.819472222,0.782,0.778302975,,,,
